publication_year,esac_publisher,total_dois,with_author,with_institutions,with_countries,with_is_corresponding,with_raw_author_name,with_raw_affiliation_strings,with_affiliations,with_walden_author,with_walden_institutions,with_walden_countries,with_walden_is_corresponding,with_walden_raw_author_name,with_walden_raw_affiliation_strings,with_walden_affiliations
2025,Association for Computing Machinery,4558,4557,4466,4502,4557,4557,4526,4526,4557,4490,4490,4557,4557,4520,4520
2025,BMJ Publishing,11802,11738,11250,11186,11738,11738,11538,11538,11746,9936,9936,11746,11746,10052,10052
2025,Brill,4087,3983,3634,3850,3983,3983,3870,3870,3985,3686,3686,3985,3985,3864,3864
2025,Bristol University Press,436,435,423,433,435,435,434,434,435,426,426,435,435,434,434
2025,Cambridge University Press,17960,17460,8539,8625,17460,17460,8706,8706,17464,13191,13191,17464,17464,13358,13358
2025,Company of Biologists,784,716,771,772,716,716,777,777,718,769,769,718,718,774,774
2025,Elsevier,592280,586199,191738,192912,586199,586199,193059,193059,586196,37473,37472,586196,586196,35535,35535
2025,Emerald,13700,13287,4769,4787,13287,13287,4861,4861,13287,7268,7268,13287,13287,7455,7455
2025,IOP Publishing,15341,15330,2502,2523,15330,15330,2538,2538,15330,616,616,15330,15330,615,615
2025,IOS Press,4220,4205,3983,4201,4205,4205,4210,4210,4205,4083,4083,4205,4205,4199,4199
2025,IWA Publishing,606,606,576,591,606,606,591,591,606,596,596,606,606,601,601
2025,John Benjamins Publishing,995,990,909,912,990,990,941,941,990,894,894,990,990,924,924
2025,Karger,3544,3446,1018,1027,3446,3446,1027,1027,3447,423,423,3447,3447,2317,2317
2025,Oxford University Press,34186,33770,32628,32838,33770,33770,33144,33144,33776,32821,32820,33776,33776,32988,32988
2025,Portland Press,227,220,225,227,220,220,227,227,220,225,225,220,220,227,227
2025,Royal Society of Chemistry,24725,23760,18928,19007,23760,23760,19021,19021,23760,24553,24553,23760,23760,24586,24586
2025,Sage,53544,52850,50860,51819,52850,52850,52047,52047,52866,51311,51310,52866,52866,52076,52076
2025,Springer Nature,330376,329238,205075,206780,329238,329238,207157,207157,329387,229764,229762,329387,329387,230348,230348
2025,Taylor & Francis,107100,106600,99412,100112,106600,106600,102670,102670,106601,102573,102573,106601,106601,104819,104819
2025,The Royal Society,1254,1254,1235,1242,1254,1254,1251,1251,1254,1241,1241,1254,1254,1247,1247
2025,Walter de Gruyter,10572,10265,9714,10284,10265,10265,10326,10326,10268,9864,9864,10268,10268,10299,10299
2025,Wiley,198034,196003,190095,191670,196003,196003,192119,192119,196021,191671,191668,196021,196021,192140,192140
